,vpn_number,trial,condition,correct_key,key,rt,iscorrect,accuracy,error_rate
0,1,0,pictures,l,s,1.60121011734,False,0.98,0.020000000000000018
1,1,1,pictures,l,l,0.809813022614,True,0.98,0.020000000000000018
2,1,2,pictures,l,l,0.624212026596,True,0.98,0.020000000000000018
3,1,3,pictures,l,l,0.53791308403,True,0.98,0.020000000000000018
4,1,4,words,s,s,0.536463975906,True,0.98,0.020000000000000018
5,1,5,words,s,l,0.468966007233,False,0.98,0.020000000000000018
6,1,6,words,s,s,1.7979969978299999,True,0.98,0.020000000000000018
7,1,7,words,s,s,0.455532073975,True,0.98,0.020000000000000018
8,1,8,pictures,l,l,0.6305971145629999,True,0.98,0.020000000000000018
9,1,9,words,s,s,0.635549068451,True,0.98,0.020000000000000018
10,1,10,words,s,s,0.43671298026999994,True,0.98,0.020000000000000018
11,1,11,words,s,s,0.580194950104,True,0.98,0.020000000000000018
12,1,12,words,s,s,0.379474878311,True,0.98,0.020000000000000018
13,1,13,pictures,l,l,0.452703952789,True,0.98,0.020000000000000018
14,1,14,words,s,s,0.60072517395,True,0.98,0.020000000000000018
15,1,15,words,s,s,0.385452032089,True,0.98,0.020000000000000018
16,1,16,pictures,l,l,0.424815893173,True,0.98,0.020000000000000018
17,1,17,pictures,l,l,0.529315948486,True,0.98,0.020000000000000018
18,1,18,pictures,l,l,0.43567109108,True,0.98,0.020000000000000018
19,1,19,pictures,l,l,0.764928102493,True,0.98,0.020000000000000018
20,1,20,words,s,s,0.40360212326,True,0.98,0.020000000000000018
21,1,21,pictures,l,l,0.513916969299,True,0.98,0.020000000000000018
22,1,22,pictures,l,l,0.642765045166,True,0.98,0.020000000000000018
23,1,23,words,s,s,0.535161972046,True,0.98,0.020000000000000018
24,1,24,words,s,s,0.323107004166,True,0.98,0.020000000000000018
25,1,25,words,s,s,0.384130001068,True,0.98,0.020000000000000018
26,1,26,words,s,s,0.386745929718,True,0.98,0.020000000000000018
27,1,27,pictures,l,l,0.431236028671,True,0.98,0.020000000000000018
28,1,28,pictures,l,l,0.576281070709,True,0.98,0.020000000000000018
29,1,29,words,s,s,0.575101137161,True,0.98,0.020000000000000018
30,1,30,words,s,s,0.35231995582599995,True,0.98,0.020000000000000018
31,1,31,words,s,s,0.43404603004500003,True,0.98,0.020000000000000018
32,1,32,words,s,s,0.572552919388,True,0.98,0.020000000000000018
33,1,33,words,s,s,0.42469501495399997,True,0.98,0.020000000000000018
34,1,34,words,s,s,0.358112812042,True,0.98,0.020000000000000018
